date,visits
10/11/14,37
10/12/14,24
10/13/14,35
10/14/14,38
10/15/14,35
10/16/14,30
10/17/14,33
10/18/14,22
10/19/14,34
10/20/14,42
10/21/14,25
10/22/14,21
10/23/14,23
10/24/14,31
10/25/14,45
10/26/14,44
10/27/14,29
10/28/14,52
10/29/14,39
10/30/14,31
10/31/14,18
11/1/14,24
11/2/14,41
11/3/14,31
11/4/14,38
11/5/14,23
11/6/14,31
11/7/14,26
11/8/14,40
11/9/14,37
11/10/14,38
11/11/14,37
11/12/14,34
11/13/14,24
11/14/14,35
11/15/14,35
11/16/14,42
11/17/14,37
11/18/14,46
11/19/14,41
11/20/14,35
11/21/14,22
11/22/14,29
11/23/14,25
11/24/14,31
11/25/14,20
11/26/14,23
11/27/14,30
11/28/14,23
11/29/14,31
11/30/14,65
12/1/14,35
12/2/14,32
12/3/14,31
12/4/14,27
12/5/14,38
12/6/14,15
12/7/14,39
12/8/14,39
12/9/14,38
12/10/14,31
12/11/14,13
12/12/14,21
12/13/14,31
12/14/14,44
12/15/14,46
12/16/14,43
12/17/14,22
12/18/14,25
12/19/14,26
12/20/14,39
12/21/14,41
12/22/14,37
12/23/14,40
12/24/14,35
12/25/14,23
12/26/14,53
12/27/14,55
12/28/14,54
12/29/14,55
12/30/14,49
12/31/14,39
1/1/15,54
1/2/15,48
1/3/15,52
1/4/15,68
1/5/15,61
1/6/15,52
1/7/15,51
1/8/15,59
1/9/15,33
1/10/15,40
1/11/15,54
1/12/15,40
1/13/15,50
1/14/15,51
1/15/15,45
1/16/15,52
1/17/15,49
1/18/15,46
1/19/15,61
1/20/15,84
1/21/15,48
1/22/15,54
1/23/15,39
1/24/15,50
1/25/15,64
1/26/15,44
1/27/15,26
1/28/15,60
1/29/15,44
1/30/15,32
1/31/15,31
2/1/15,39
2/2/15,47
2/3/15,55
2/4/15,41
2/5/15,39
2/6/15,24
2/7/15,33
2/8/15,49
2/9/15,20
2/10/15,26
2/11/15,35
2/12/15,34
2/13/15,30
2/14/15,41
2/15/15,53
2/16/15,53
2/17/15,48
2/18/15,54
2/19/15,67
2/20/15,35
2/21/15,45
2/22/15,42
2/23/15,51
2/24/15,66
2/25/15,49
2/26/15,59
2/27/15,52
2/28/15,51
3/1/15,68
3/2/15,69
3/3/15,49
3/4/15,32
3/5/15,53
3/6/15,50
3/7/15,48
3/8/15,58
3/9/15,60
3/10/15,52
3/11/15,44
3/12/15,42
3/13/15,43
3/14/15,43
3/15/15,40
3/16/15,52
3/17/15,40
3/18/15,44
3/19/15,63
3/20/15,70
3/21/15,84
3/22/15,109
3/23/15,73
3/24/15,53
3/25/15,69
3/26/15,38
3/27/15,164
3/28/15,48
3/29/15,80
3/30/15,77
3/31/15,90
4/1/15,77
4/2/15,38
4/3/15,98
4/4/15,46
4/5/15,54
4/6/15,54
4/7/15,60
4/8/15,49
4/9/15,49
4/10/15,53
4/11/15,60
4/12/15,41
4/13/15,44
4/14/15,51
4/15/15,35
4/16/15,41
4/17/15,30
4/18/15,39
4/19/15,58
4/20/15,45
4/21/15,58
4/22/15,69
4/23/15,68
4/24/15,58
4/25/15,51
4/26/15,56
4/27/15,53
4/28/15,32
4/29/15,44
4/30/15,37
5/1/15,24
5/2/15,66
5/3/15,73
5/4/15,68
5/5/15,37
5/6/15,60
5/7/15,61
5/8/15,36
5/9/15,63
5/10/15,91
5/11/15,64
,
