date,visits
10/11/14,37896
10/12/14,24098
10/13/14,35550
10/14/14,38610
10/15/14,35739
10/16/14,30316
10/17/14,33109
10/18/14,22184
10/19/14,34224
10/20/14,42130
10/21/14,25672
10/22/14,21151
10/23/14,23778
10/24/14,31267
10/25/14,45930
10/26/14,44321
10/27/14,29804
10/28/14,52897
10/29/14,39299
10/30/14,31560
10/31/14,18044
11/1/14,24366
11/2/14,41180
11/3/14,31801
11/4/14,38279
11/5/14,23716
11/6/14,31467
11/7/14,26713
11/8/14,40326
11/9/14,37500
11/10/14,38330
11/11/14,37142
11/12/14,34932
11/13/14,24353
11/14/14,35796
11/15/14,35765
11/16/14,42786
11/17/14,37627
11/18/14,46471
11/19/14,41015
11/20/14,35123
11/21/14,22167
11/22/14,29803
11/23/14,25943
11/24/14,31092
11/25/14,20581
11/26/14,23964
11/27/14,30713
11/28/14,23643
11/29/14,31054
11/30/14,65203
12/1/14,35399
12/2/14,32522
12/3/14,31679
12/4/14,27933
12/5/14,38091
12/6/14,15077
12/7/14,39136
12/8/14,39925
12/9/14,38664
12/10/14,31461
12/11/14,13777
12/12/14,21630
12/13/14,31828
12/14/14,44099
12/15/14,46142
12/16/14,43751
12/17/14,22093
12/18/14,25541
12/19/14,26022
12/20/14,39701
12/21/14,41978
12/22/14,37087
12/23/14,40782
12/24/14,35082
12/25/14,23999
12/26/14,53844
12/27/14,55553
12/28/14,54289
12/29/14,55081
12/30/14,49460
12/31/14,39152
1/1/15,54693
1/2/15,48864
1/3/15,52196
1/4/15,68920
1/5/15,61027
1/6/15,52039
1/7/15,51789
1/8/15,59531
1/9/15,33395
1/10/15,40040
1/11/15,54376
1/12/15,40109
1/13/15,50437
1/14/15,51679
1/15/15,45141
1/16/15,52529
1/17/15,49810
1/18/15,46209
1/19/15,61079
1/20/15,84518
1/21/15,48709
1/22/15,54569
1/23/15,39034
1/24/15,50577
1/25/15,64146
1/26/15,44217
1/27/15,26643
1/28/15,60857
1/29/15,44124
1/30/15,32000
1/31/15,31233
2/1/15,39935
2/2/15,47370
2/3/15,55404
2/4/15,41662
2/5/15,39218
2/6/15,24816
2/7/15,33132
2/8/15,49159
2/9/15,20418
2/10/15,26719
2/11/15,35392
2/12/15,34522
2/13/15,30571
2/14/15,41271
2/15/15,53948
2/16/15,53638
2/17/15,48811
2/18/15,54097
2/19/15,67676
2/20/15,35366
2/21/15,45017
2/22/15,42159
2/23/15,51597
2/24/15,66805
2/25/15,49474
2/26/15,59462
2/27/15,52259
2/28/15,51558
3/1/15,68250
3/2/15,69660
3/3/15,49220
3/4/15,32492
3/5/15,53337
3/6/15,50818
3/7/15,48158
3/8/15,58740
3/9/15,60635
3/10/15,52098
3/11/15,44024
3/12/15,42689
3/13/15,43834
3/14/15,43733
3/15/15,40404
3/16/15,52140
3/17/15,40032
3/18/15,44436
3/19/15,63272
3/20/15,70785
3/21/15,84060
3/22/15,109063
3/23/15,73498
3/24/15,53921
3/25/15,69605
3/26/15,38875
3/27/15,164272
3/28/15,48802
3/29/15,80978
3/30/15,77769
3/31/15,90793
4/1/15,77391
4/2/15,38118
4/3/15,98002
4/4/15,46108
4/5/15,54762
4/6/15,54301
4/7/15,60819
4/8/15,49437
4/9/15,49134
4/10/15,53538
4/11/15,60981
4/12/15,41247
4/13/15,44439
4/14/15,51357
4/15/15,35620
4/16/15,41278
4/17/15,30971
4/18/15,39334
4/19/15,58720
4/20/15,45288
4/21/15,58082
4/22/15,69126
4/23/15,68537
4/24/15,58361
4/25/15,51903
4/26/15,56521
4/27/15,53917
4/28/15,32215
4/29/15,44850
4/30/15,37424
5/1/15,24401
5/2/15,66097
5/3/15,73800
5/4/15,68850
5/5/15,37034
5/6/15,60692
5/7/15,61274
5/8/15,36927
5/9/15,63151
5/10/15,91547
5/11/15,64404
